contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,retrieved_date,expiration
SPY250411C00509000,2025-04-11 15:46:35+00:00,509.0,16.57,17.57,17.74,-2.3500004,-12.42072,125.0,2406,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00510000,2025-04-11 15:50:05+00:00,510.0,16.74,16.64,16.8,-1.460001,-8.035228,466.0,22816,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00511000,2025-04-11 15:48:01+00:00,511.0,15.69,15.7,15.84,-1.9800005,-11.205436,194.0,1545,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00512000,2025-04-11 15:48:01+00:00,512.0,14.79,14.7,14.84,-2.0899992,-12.381513,237.0,1760,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00513000,2025-04-11 15:45:45+00:00,513.0,13.39,13.8,13.94,-2.4299994,-15.3603,283.0,1590,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00514000,2025-04-11 15:48:26+00:00,514.0,12.93,12.9,13.05,-2.54,-16.418875,244.0,2218,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00515000,2025-04-11 15:49:39+00:00,515.0,12.2,12.04,12.17,-2.5100002,-17.063225,1416.0,4857,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00516000,2025-04-11 15:48:54+00:00,516.0,11.25,11.15,11.29,-2.71,-19.412607,552.0,1965,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00517000,2025-04-11 15:48:59+00:00,517.0,10.54,10.32,10.44,-2.71,-20.45283,953.0,2206,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00518000,2025-04-11 15:48:57+00:00,518.0,9.6,9.51,9.6,-2.96,-23.566877,1913.0,2149,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00519000,2025-04-11 15:49:01+00:00,519.0,9.03,8.76,8.87,-2.13,-19.086023,3652.0,2696,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00520000,2025-04-11 15:49:39+00:00,520.0,8.0,7.93,8.01,-3.2200003,-28.698753,12600.0,15622,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00521000,2025-04-11 15:50:47+00:00,521.0,7.2,7.26,7.34,-3.1500006,-30.172419,12682.0,8312,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00522000,2025-04-11 15:49:40+00:00,522.0,6.52,6.47,6.53,-2.9299998,-31.00529,25605.0,4678,0.1538170556640625,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00523000,2025-04-11 15:50:02+00:00,523.0,5.87,5.75,5.81,-3.1900005,-35.209717,59287.0,3912,0.1889729541015625,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00524000,2025-04-11 15:50:09+00:00,524.0,5.1,5.19,5.23,-3.3700004,-39.787487,43969.0,3155,0.2192460888671875,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00525000,2025-04-11 15:50:32+00:00,525.0,4.61,4.58,4.62,-3.37,-42.230576,73173.0,10389,0.2329178271484375,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00526000,2025-04-11 15:50:48+00:00,526.0,4.03,4.01,4.05,-3.23,-44.36813,47942.0,4654,0.24292749267578123,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00527000,2025-04-11 15:50:27+00:00,527.0,3.53,3.52,3.55,-3.2900002,-48.24047,44813.0,4527,0.2530592272949219,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00528000,2025-04-11 15:50:39+00:00,528.0,3.18,3.1,3.11,-3.01,-48.626816,56029.0,4694,0.2629468237304688,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00529000,2025-04-11 15:50:09+00:00,529.0,2.61,2.61,2.64,-3.0600002,-53.03293,25418.0,4323,0.26489992919921873,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00530000,2025-04-11 15:50:45+00:00,530.0,2.31,2.31,2.34,-2.9500003,-55.765602,102695.0,33096,0.2778392529296875,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00531000,2025-04-11 15:50:08+00:00,531.0,1.97,1.97,1.99,-2.8799999,-59.381443,19642.0,3708,0.28162339477539056,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00532000,2025-04-11 15:50:32+00:00,532.0,1.72,1.7,1.72,-2.57,-60.046734,22722.0,7046,0.2890696093749999,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00533000,2025-04-11 15:50:02+00:00,533.0,1.5,1.48,1.49,-2.41,-61.63683,24153.0,3284,0.2966378930664062,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00534000,2025-04-11 15:49:41+00:00,534.0,1.28,1.26,1.28,-2.27,-63.943665,21187.0,4144,0.30298548583984375,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00535000,2025-04-11 15:50:16+00:00,535.0,1.07,1.07,1.09,-2.1,-66.037735,69219.0,10341,0.30811238769531246,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00536000,2025-04-11 15:50:09+00:00,536.0,0.92,0.91,0.93,-1.9299998,-67.71929,22899.0,3377,0.31372756591796874,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00537000,2025-04-11 15:50:31+00:00,537.0,0.8,0.8,0.81,-1.77,-69.140625,18941.0,4281,0.3217841259765625,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00538000,2025-04-11 15:49:48+00:00,538.0,0.7,0.68,0.7,-1.5899999,-69.43231,25666.0,3082,0.3286199951171874,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00539000,2025-04-11 15:49:30+00:00,539.0,0.62,0.59,0.61,-1.37,-68.84422,17569.0,4239,0.33618827880859375,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00540000,2025-04-11 15:50:39+00:00,540.0,0.53,0.51,0.52,-1.22,-69.71429,70806.0,27428,0.3413151806640625,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00541000,2025-04-11 15:49:33+00:00,541.0,0.46,0.46,0.47,-1.11,-70.25317,17873.0,3995,0.35205726074218746,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00542000,2025-04-11 15:49:56+00:00,542.0,0.41,0.39,0.4,-0.94000006,-69.62963,21259.0,4184,0.3569400244140625,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00543000,2025-04-11 15:50:42+00:00,543.0,0.36,0.35,0.36,-0.81999993,-69.49152,22487.0,3025,0.366217275390625,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00544000,2025-04-11 15:49:30+00:00,544.0,0.32,0.31,0.32,-0.75000006,-70.09346,19049.0,3191,0.3745179736328125,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00545000,2025-04-11 15:50:15+00:00,545.0,0.27,0.27,0.28,-0.64,-70.32967,44018.0,14933,0.38086556640624997,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00546000,2025-04-11 15:50:12+00:00,546.0,0.24,0.24,0.25,-0.57,-69.5122,9467.0,5134,0.3891662646484375,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00547000,2025-04-11 15:50:06+00:00,547.0,0.21,0.21,0.22,-0.49,-69.014084,11934.0,3427,0.39600213378906257,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00548000,2025-04-11 15:49:28+00:00,548.0,0.2,0.19,0.2,-0.45,-70.3125,10248.0,4303,0.405279384765625,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00549000,2025-04-11 15:48:40+00:00,549.0,0.17,0.17,0.18,-0.35999995,-66.666664,6170.0,4092,0.41309180664062495,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00550000,2025-04-11 15:49:58+00:00,550.0,0.15,0.15,0.16,-0.32,-66.66667,71879.0,38640,0.41992767578125,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00551000,2025-04-11 15:48:51+00:00,551.0,0.15,0.14,0.15,-0.29,-65.90909,10113.0,3591,0.43066975585937506,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00552000,2025-04-11 15:49:49+00:00,552.0,0.12,0.12,0.13,-0.24000001,-64.86486,7419.0,3009,0.43555251953125,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00553000,2025-04-11 15:46:47+00:00,553.0,0.1,0.11,0.12,-0.23000002,-69.696976,4034.0,5126,0.44434149414062496,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00554000,2025-04-11 15:49:18+00:00,554.0,0.11,0.1,0.11,-0.16000001,-59.259262,2561.0,2587,0.45313046875,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00555000,2025-04-11 15:48:27+00:00,555.0,0.09,0.09,0.1,-0.14999999,-59.999996,11908.0,9124,0.46094289062500005,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00556000,2025-04-11 15:43:22+00:00,556.0,0.08,0.08,0.09,-0.11,-57.894737,2555.0,3356,0.46680220703125,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00557000,2025-04-11 15:46:41+00:00,557.0,0.08,0.07,0.08,-0.10000001,-58.82353,3698.0,8184,0.4726615234375,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00558000,2025-04-11 15:43:21+00:00,558.0,0.07,0.07,0.08,-0.089999996,-56.25,2400.0,2945,0.48633326171875,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00559000,2025-04-11 15:47:12+00:00,559.0,0.06,0.05,0.06,-0.06,-54.545456,7688.0,8562,0.4804739453125,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00560000,2025-04-11 15:49:12+00:00,560.0,0.06,0.05,0.06,-0.06,-50.0,37755.0,25633,0.49414568359375005,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00561000,2025-04-11 15:40:02+00:00,561.0,0.06,0.05,0.06,-0.05,-45.454544,2761.0,8851,0.500005,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00562000,2025-04-11 15:48:19+00:00,562.0,0.04,0.04,0.05,-0.060000002,-54.545456,3165.0,2709,0.500005,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00562500,2025-04-11 15:42:47+00:00,562.5,0.04,0.04,0.05,-0.060000002,-60.0,3760.0,7084,0.507817421875,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00563000,2025-04-11 15:42:24+00:00,563.0,0.04,0.04,0.05,-0.030000001,-42.857143,2035.0,3250,0.5136767382812499,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00564000,2025-04-11 15:44:10+00:00,564.0,0.04,0.03,0.04,-0.050000004,-62.5,1228.0,3184,0.5117236328125,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00565000,2025-04-11 15:38:43+00:00,565.0,0.03,0.03,0.04,-0.04,-57.142857,5116.0,19718,0.523442265625,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00566000,2025-04-11 15:40:49+00:00,566.0,0.03,0.03,0.04,-0.020000001,-40.000004,1309.0,2930,0.5351608984375,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00567000,2025-04-11 15:40:59+00:00,567.0,0.03,0.02,0.03,-0.03,-50.0,1545.0,5584,0.5273484765625001,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00568000,2025-04-11 15:29:13+00:00,568.0,0.02,0.02,0.03,-0.030000001,-60.0,1254.0,3790,0.5390671093750001,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00569000,2025-04-11 15:43:59+00:00,569.0,0.03,0.02,0.03,-0.03,-60.000004,1993.0,3469,0.5468795312500001,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00570000,2025-04-11 15:49:35+00:00,570.0,0.03,0.02,0.03,-0.01,-25.0,9633.0,19323,0.5625043750000001,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00571000,2025-04-11 15:45:56+00:00,571.0,0.02,0.01,0.02,-0.030000001,-60.0,2465.0,2452,0.5390671093750001,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00572000,2025-04-11 15:45:49+00:00,572.0,0.02,0.01,0.02,-0.02,-50.0,1209.0,2551,0.5546919531250001,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00573000,2025-04-11 15:35:27+00:00,573.0,0.02,0.01,0.02,-0.02,-66.66667,3664.0,2390,0.5625043750000001,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00574000,2025-04-11 15:49:50+00:00,574.0,0.01,0.01,0.02,-0.03,-75.0,1095.0,2938,0.57812921875,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00575000,2025-04-11 15:39:20+00:00,575.0,0.01,0.01,0.02,-0.02,-66.66667,2470.0,8540,0.585941640625,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00576000,2025-04-11 15:38:29+00:00,576.0,0.02,0.01,0.02,0.0,0.0,679.0,2506,0.5937540625000001,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00577000,2025-04-11 15:44:37+00:00,577.0,0.02,0.01,0.02,-0.02,-66.66667,1203.0,3754,0.6093789062500001,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00578000,2025-04-11 15:39:50+00:00,578.0,0.02,0.01,0.02,-0.02,-50.0,710.0,3189,0.6171913281250001,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00579000,2025-04-11 15:16:13+00:00,579.0,0.01,0.01,0.02,-0.02,-66.66667,572.0,2241,0.6250037500000001,False,REGULAR,USD,call,2025-04-11,2025-04-11
